brand,share in percent,market
Arabian Internet & Communications,1,it services
Booz Allen Hamilton,1,it services
Pactera,1,it services
Tech Mahindra,1,it services
Concentrix,2,it services
IBM,2,it services
Hitachi,8,it services
Kyndryl,10,it services
Other,74,it services
ChatGPT,78,generative AI(text)
DeepL,2,generative AI(text)
Google Bard,7,generative AI(text)
Jasper,1,generative AI(text)
NightCafe,1,generative AI(text)
Perplexity AI,2,generative AI(text)
QuillBot,7,generative AI(text)
Writesonic,1,generative AI(text)
You.com,1,generative AI(text)
Adobe Firefly,8,generative AI(image)
DALL-E,27,generative AI(image)
Midjourney,52,generative AI(image)
Runway,10,generative AI(image)
starryai,5,generative AI(image)








